district.region.code,district.region.name,ward.code,ward.name,village,market.name.corrected
61,katavi,610101,kibaoni,kibaoni,kibaoni
61,katavi,610102,usevya,usevya,usevya
61,katavi,610105,mamba,kilda.kona,kilda.kona
61,katavi,610106,majimoto,kitupa,majimoto.a
61,katavi,610106,majimoto,kitupa,majimoto.b
61,katavi,610109,chamalendi,sibwesa,sibwesa
61,katavi,610110,inyonga,kinyonga,inyonga
61,katavi,610111,itenka,itenka.a,itenka
61,katavi,610113,sibwesa,minyagala,minyagala
62,simiyu,620116,mwamapalala,mwamapalala,mwamapalala
62,simiyu,620117,dutwa,igaganulwa,igaganulwa
62,simiyu,620118,mwasamba,mwasamba,mwasamba
62,simiyu,620119,kidinda,kidinda,kidinda
62,simiyu,620120,lalago,lalago,lalago
63,mbeya,630106,utengule.usangu,utengule.usangu,utengule.usangu
63,mbeya,630108,rujewa,ihanga,rujewa
63,mbeya,630109,imalilosongwe,imalilosongwe,imalilosongwe
63,mbeya,630111,madibila,chalisuka,madibira
63,mbeya,630113,mapogoro,mapogoro,mapogoro
63,mbeya,630114,igava,muungano,muungano
63,mbeya,630116,mamba,mamba,shinyanga
63,mbeya,630117,mtanila,igangwe,shauri.moyo
64,mtwara,640101,mumbaka,mumbaka,mumbaka
64,mtwara,640102,mnavira,mnavira,mnavira
64,mtwara,640102,mnavira,muhesi,muhesi
64,mtwara,640103,sululu,maneme,nanyumbu
64,mtwara,640105,mkundi,majembe,mkundi
64,mtwara,640106,mwengemtapika,nangaya,nangaya
64,mtwara,640107,nangoo,mwongozo,nangoo
64,mtwara,640108,mchauru,mchauru,mchauru
64,mtwara,640109,makong.onda,nakarara,makong.onda
64,mtwara,640110,chikolopola,chikolopola,chikolopola
64,mtwara,640112,chiungutwa,chiungutwa,chiungutwa
64,mtwara,640113,mtandi,mtandi.b,mtandi
64,mtwara,640113,mtandi,madeco,madeco
64,mtwara,640114,silabu,upanga,upanga
64,mtwara,640115,mwenge.mtapika,mwenge,mwenge
64,mtwara,640116,lukuledi,lukuledi,lukuledi
64,mtwara,640118,chiwale,kivukoni,chiwale
64,mtwara,640119,mwena,chibwini,mwena
64,mtwara,640120,namalenga,nagaga,namalenga
64,mtwara,640121,nanjota,nanjota,nanjota
64,mtwara,640122,ndomoni,ndomoni,ndomoni
64,mtwara,640123,kitangari,kitangari,kitangari
64,mtwara,640124,luchingu,luchingu,luchingu
64,mtwara,640125,nangwala,nangwala,nangwala
64,mtwara,640126,mtonya,majengo,mtonya
64,mtwara,640127,tulindane,tupendane,tulindane
65,morogoro,650101,minepa,mbuyuni,mbuyuni
65,morogoro,650102,milola,mavimba,mavimba
65,morogoro,650104,iragua,namhanga,mbenja
65,morogoro,650106,lukande,lukande,lukande
65,morogoro,650107,mbuga,iputi,iputi
65,morogoro,650118,itete,itete,itete
65,morogoro,650119,salamiti,kiswago,salamiti
65,morogoro,650121,tanga,tanga,tanga
65,morogoro,650123,namawala,idandu,kikurukutu
65,morogoro,650124,mofu,miyomboni,mofu
65,morogoro,650127,sagamaganga,sagamaganga,sagamaganga
65,morogoro,650130,rudewa.gongoni,gongoni,gongoni
65,morogoro,650137,mzia,mziha,mziha
66,dodoma,660101,nondwa,nondwa,nondwa
66,dodoma,660102,mundemu,mundemu,mundemu
66,dodoma,660107,msisi,msisi,msisi
66,dodoma,660108,ibihwa,mnkola,mnkola
66,dodoma,660110,bahi,bahi.sokoni,bahi
66,dodoma,660114,babayu,kongogo,kongogo
66,dodoma,660115,lamaiti,lamaiti,lamaiti
66,dodoma,660116,kigwe,kigwe,kigwe
66,dodoma,660117,ibugule,nkhome,nkhome
66,dodoma,660118,makanda,makanda,makanda
66,dodoma,660119,zanica,mayamaya,mayamaya
66,dodoma,660120,dodoma.mjini,mpunguzi,mpunguzi
68,mwanza,680101,ngudu,kakola,kakola
68,mwanza,680102,kabila,ndagalu,kabila
68,mwanza,680103,misasi,manawa,misasi
70,njombe,700101,wangingombe,wanging.ombe,wanging.ombe
71,rukwa,710101,namanyele,isunta,isunta
71,rukwa,710102,kate,ntalamila,ntalamila
71,rukwa,710103,muze,muze,muze
71,rukwa,710105,kipeta,kilyamatundu,kilyamatundu
72,songwe,720101,mkomba,ntungwa,mbao
72,songwe,720102,idiwili,idiwili,idiwili
73,iringa,730101,itunundu,kimande,kimande
73,iringa,730102,ihowanza,ihowanza,ihowanza