"fid","date","country","region","district","district20","ward","village","market","gps.coordinates.of.the.market","unique.row.identifier.uuid.","humpop_density1km","shppop_10km","gtpop_10km","anmlpop_10km","prod.sys","town.distkm","town.type","road.distkm","road.type"
1144629,2022-05-11,6,"dodoma","bahi","bahi.dc","babayu","kongogo","kongogo","-5.6540452 35.6187311 1001.0666927661302 4.7","613c7928-dc08-11ec-9416-9440c9ab47f0",33.9061584472656,505.294555664062,1419.73266601562,1925.02722167969,"mixed-rainfed-arid",23.18,"other",1.39,"trail"
1145145,2022-05-12,6,"dodoma","bahi","bahi.dc","ibihwa","mnkola","mnkola","-5.9346991 35.4385512 967.9165535898202 4.4","6195a4d8-dc08-11ec-9416-9440c9ab47f0",43.6761436462402,1383.95654296875,2604.08374023438,3988.04028320312,"mixed-rainfed-arid",18.94,"other",8.18,"tertiary"
1145634,2022-05-13,6,"dodoma","bahi","bahi.dc","kigwe","kigwe","kigwe","-6.0890039 35.491366 923.6996822010908 5.0","34d62591-dc0e-11ec-9416-9440c9ab47f0",408.136291503906,1652.35400390625,3561.48388671875,5213.837890625,"mixed-rainfed-arid",1.51,"other",0.29,"tertiary"
1146643,2022-05-16,6,"simiyu","maswa","maswa.dc","lalago","lalago","lalago","-3.4356636 33.940421 1176.560546875 4.484","34b44643-dc0e-11ec-9416-9440c9ab47f0",248.815704345703,4083.12915039062,1413.45251464844,5496.58166503906,"mixed-rainfed-arid",21.22,"other",0.31,"tertiary"
1147458,2022-05-14,6,"dodoma","bahi","bahi.dc","ibugule","nkhome","nkhome","-6.3376382 35.5494331 1043.9753975031404 4.666","34ecd3de-dc0e-11ec-9416-9440c9ab47f0",50.3891258239746,1426.84655761719,2341.31884765625,3768.16540527344,"mixed-rainfed-arid",27.28,"other",0.42,"tertiary"
1147539,2022-05-17,6,"simiyu","bariadi","bariadi.tc","bariadi","kidinda","kidinda","-2.7993362 33.9778378 1279.3138427734375 4.99","34a3426d-dc0e-11ec-9416-9440c9ab47f0",2416.9091796875,1886.83288574219,4264.46435546875,6151.29724121094,"mixed-rainfed-humid",8.72,"other",0.25,"trail"
1148684,2022-05-18,6,"simiyu","itilima","itilima.dc","mwamapalala","mwamapalala","mwamapalala","-3.0198588 33.9063994 1279.216552734375 4.094","345ae204-dc0e-11ec-9416-9440c9ab47f0",386.940612792969,2780.09912109375,2272.37475585938,5052.47387695312,"mixed-rainfed-arid",26.11,"other",1.63,"tertiary"
1148875,2022-05-19,6,"simiyu","bariadi","bariadi.dc","dutwa","igaganulwa","dutwa","-2.5205596 33.9705568 1226.0179443359375 4.824","34bb77ae-dc0e-11ec-9416-9440c9ab47f0",580.048217773438,1795.44934082031,5350.5634765625,7146.01281738281,"mixed-rainfed-humid",26.07,"other",0.78,"tertiary"
1150216,2022-05-21,6,"mwanza","kwimba","kwimba.dc","ngudu","kakola","dutwa","-2.9533058 33.3396562 1198.62255859375 4.824","8f1ad2b6-dc14-11ec-9416-9440c9ab47f0",965.205627441406,1691.83239746094,78.9815673828125,1770.81396484375,"mixed-rainfed-arid",13.47,"other",0.75,"trail"
1150503,2022-05-21,6,"dodoma","bahi","bahi.dc","nondwa","nondwa","nondwa","-6.4412867 35.3437051 879.995288088445 5.0","61647c89-dc08-11ec-9416-9440c9ab47f0",27.2147789001465,572.395751953125,1077.66003417969,1650.05578613281,"mixed-rainfed-arid",4.7,"other",4.48,"tertiary"
1150713,2022-05-22,6,"katavi","mlele","mpimbwe.dc","majimoto","kitupa","majimoto","-7.2648428 31.3856309 942.7573749628949 5.0","616d7ada-dc08-11ec-9416-9440c9ab47f0",77.9169769287109,72.3570709228516,1072.03479003906,1144.39186096191,"mixed-rainfed-arid",24.49,"other",0.16,"tertiary"
1151624,2022-05-18,6,"dodoma","bahi","bahi.dc","makanda","makanda","makanda","-5.7435244 35.3763822 850.1656003108059 5.0","34b92064-dc0e-11ec-9416-9440c9ab47f0",29.6135768890381,1002.96942138672,1561.4443359375,2564.41375732422,"mixed-rainfed-arid",28.22,"other",5.63,"trail"
1151673,2022-05-23,6,"morogoro","ulanga","ulanga.dc","minepa","mavimba","mavimba","-8.3016157 36.6768771 260.3158878360539 4.288","62218a38-dc08-11ec-9416-9440c9ab47f0",72.1182403564453,183.5126953125,786.566162109375,970.078857421875,"livestock-humid",11.07,"other",0.21,"trail"
1151696,2022-05-23,6,"katavi","mlele","mpimbwe.dc","usevya","usevya","usevya","-7.1023229 31.233341 918.6710145224217 5.0","6127542e-dc08-11ec-9416-9440c9ab47f0",597.883117675781,115.234504699707,1686.32934570312,1801.56385040283,"mixed-rainfed-arid",0.96,"other",0.01,"tertiary"
1151761,2022-05-23,6,"mwanza","magu","magu.dc","nkungulu","ndagalu","kabila","-2.735009 33.6199781 1187.2132568359375 4.873","8f923ff7-dc14-11ec-9416-9440c9ab47f0",249.633758544922,2094.65185546875,904.302978515625,2998.95483398438,"mixed-rainfed-humid",10.25,"other",10.11,"trail"
1152532,2022-05-23,6,"dodoma","bahi","bahi.dc","msisi","msisi","msisi","-5.8434268 35.6267158 1039.6681653605376 4.7","617208f4-dc08-11ec-9416-9440c9ab47f0",85.1671142578125,1015.25030517578,1955.18017578125,2970.43048095703,"mixed-rainfed-arid",18.25,"other",13.39,"trail"
1152550,2022-05-24,6,"morogoro","ulanga","ulanga.dc","mbuga","iputi","iputi","-9.015777 36.8762673 356.6743109473304 4.801","61437082-dc08-11ec-9416-9440c9ab47f0",21.3641815185547,141.546051025391,659.713256835938,801.259307861328,"livestock-humid",11.94,"other",3.54,"trail"
1153235,2022-05-25,6,"mwanza","misungwi","misungwi.dc","masasi","manawa","misasi","-3.0022943 33.0887375 1159.743408203125 4.288","b3a304ae-dc6d-11ec-9416-9440c9ab47f0",675.548706054688,1268.466796875,3535.216796875,4803.68359375,"mixed-rainfed-arid",29.8,"other",1.78,"trail"
1153347,2022-05-25,6,"katavi","mlele","mlele.dc","inyonga","kinyonga","inyonga","-6.725048 32.0738779 1155.3856748847256 4.309","b2dd90bf-dc6d-11ec-9416-9440c9ab47f0",37.0072822570801,73.4506988525391,1300.80163574219,1374.25233459473,"mixed-rainfed-arid",0.3,"other",1.2,"trail"
1153375,2022-05-25,6,"morogoro","ulanga","malinyi.dc","biro","tanga","tanga","-9.0054267 36.0480217 288.7 3.9","b3d77af4-dc6d-11ec-9416-9440c9ab47f0",110.224365234375,183.197265625,649.730224609375,832.927490234375,"mixed-rainfed-humid",20.8,"other",0.16,"trail"
1153640,2022-05-25,6,"dodoma","dodoma.urban","dodoma.cc","mpunguzi","mpunguzi","mpunguzi","-6.4008654 35.7423155 1054.1858014367524 5.0","dde676c8-dd36-11ec-9416-9440c9ab47f0",378.200897216797,3999.42529296875,13333.5419921875,17332.9672851562,"mixed-rainfed-arid",24.07,"major",0.68,"tertiary"
1153726,2022-05-26,6,"morogoro","ulanga","ulanga.dc","lukande","lukande","lukande","-8.7802811 36.8349103 344.0423149345794 4.45","dd9f1798-dd36-11ec-9416-9440c9ab47f0",11.0643405914307,96.3851165771484,272.242218017578,368.627334594727,"livestock-humid",15.09,"other",0.18,"trail"
1153837,2022-05-25,6,"mtwara","masasi.township.authority","masasi.tc","nyasa","upanga","upanga","-10.7359982 38.8195845 340.0 5.0","dd18adc9-dd36-11ec-9416-9440c9ab47f0",1273.50537109375,57.8273429870605,4658.28515625,4716.11249923706,"mixed-rainfed-arid",0.65,"major",0.7,"trail"
1153926,2022-05-26,6,"mbeya","mbarali","mbarali.dc","madibira","chalisuka","madibira","-8.2240565 34.8309127 1060.437176574953 5.0","ddfde253-dd36-11ec-9416-9440c9ab47f0",188.497146606445,252.536987304688,791.855346679688,1044.39233398438,"mixed-rainfed-arid",3.95,"other",1.25,"trail"
1154277,2022-05-26,6,"rukwa","sumbawanga","sumbawanga.dc","muze","muze","muze","-7.665454 31.5487759 825.1419668286479 4.888","083ce7b8-de00-11ec-9416-9440c9ab47f0",195.087020874023,132.487167358398,179.646697998047,312.133865356445,"mixed-rainfed-arid",32.41,"major",0.39,"tertiary"
1154304,2022-05-27,6,"rukwa","nkasi","nkasi.dc","kate","ntalamila","ntalamila","-7.8575468 31.2494008 1705.7120280769095 5.0","087092f0-de00-11ec-9416-9440c9ab47f0",80.0003890991211,80.1148452758789,253.298889160156,333.413734436035,"livestock-arid",7.65,"other",0.89,"tertiary"
1154370,2022-05-27,6,"mbeya","mbarali","mbarali.dc","miyombweni","mapogoro","mapogoro","-8.3380775 34.7013921 1043.225439584814 5.0","08c17a59-de00-11ec-9416-9440c9ab47f0",128.838516235352,165.121185302734,387.748870849609,552.870056152344,"mixed-rainfed-arid",18.43,"other",0.19,"trail"
1154778,2022-05-14,6,"simiyu","busega","busega.dc","lutubiga","mwasamba","mwasamba","-2.3095184 33.8103289 1182.7962646484375 3.964","32ab47a5-dec9-11ec-9416-9440c9ab47f0",215.131011962891,2243.14306640625,1189.73022460938,3432.87329101562,"mixed-rainfed-humid",26.71,"other",4.47,"tertiary"
1154854,2022-05-28,6,"mbeya","mbarali","mbarali.dc","igava","muungano","muungano","-8.5755375 34.4772164 1040.9195482823998 5.0","32c22296-dec9-11ec-9416-9440c9ab47f0",26.2176609039307,361.802612304688,516.809631347656,878.612243652344,"mixed-rainfed-arid",16.79,"major",0.76,"trail"
1155180,2022-05-28,6,"morogoro","ulanga","ulanga.dc","iragua","namhanga","mbenja","-8.4200995 36.4700377 232.87606789547428 4.337","5d5fa13d-df92-11ec-9416-9440c9ab47f0",13.2225589752197,143.095733642578,468.923400878906,612.019134521484,"livestock-humid",27.27,"other",10.72,"trail"
1155332,2022-05-29,6,"mbeya","mbarali","mbarali.dc","imalilosongwe","imalilosongwe","imalilosongwe","-8.618643 34.2672071 1044.681722507812 5.0","5e2a7f0d-df92-11ec-9416-9440c9ab47f0",39.4618835449219,365.062835693359,867.87646484375,1232.93930053711,"mixed-rainfed-arid",15.94,"major",5.92,"trail"
1155719,2022-05-18,6,"mtwara","mtwara.urban","mtwara.mc","naliendele","mwenge","mwenge","-10.3655329 40.1675682 153.7 5.0","8312b7c0-e05b-11ec-9416-9440c9ab47f0",761.336853027344,73.2081069946289,3043.47412109375,3116.68222808838,"Other",10.07,"other",0.74,"tertiary"
1155787,2022-05-28,6,"mtwara","masasi.township.authority","masasi.tc","jida","mtandi.b","mtandi","-10.7177235 38.8282873 381.2 4.14","832c5548-e05b-11ec-9416-9440c9ab47f0",1847.88146972656,57.8273429870605,4658.28515625,4716.11249923706,"mixed-rainfed-arid",1.82,"major",0.33,"trail"
1155788,2022-05-30,6,"mtwara","nanyumbu","nanyumbu.dc","nanyumbu","maneme","nanyumbu","-11.1417145 38.4928857 270.0 5.0","82df9ef1-e05b-11ec-9416-9440c9ab47f0",69.5793151855469,27.5875701904297,2773.345703125,2800.93327331543,"mixed-rainfed-arid",22.83,"other",0,"trail"
1156283,2022-05-30,6,"morogoro","mvomero","mvomero.dc","kanga","mziha","mziha","-5.9081153 37.7818555 424.8910042061635 4.873","82baca02-e05b-11ec-9416-9440c9ab47f0",85.8130111694336,634.974243164062,777.975036621094,1412.94927978516,"livestock-humid",14.74,"other",0.5,"tertiary"
1156399,2022-05-30,6,"dodoma","bahi","bahi.dc","zanka","mayamaya","mayamaya","-5.8180745 35.8020788 1103.13826831017 4.4","b09fc40f-e124-11ec-9416-9440c9ab47f0",92.9431533813477,588.625183105469,1912.17761230469,2500.80279541016,"mixed-rainfed-arid",1.79,"other",0.53,"tertiary"
1156578,2022-05-30,6,"katavi","mlele","nsimbo.dc","itenka","itenka.a","itenka","-6.4939355 30.9955562 997.3424979566549 4.8","b106f214-e124-11ec-9416-9440c9ab47f0",110.996459960938,109.0498046875,1270.63537597656,1379.68518066406,"mixed-irrigated-arid",27.17,"other",5.04,"tertiary"
1156594,2022-05-31,6,"katavi","mlele","mpimbwe.dc","mamba","kilda.kona","kilda.kona","-7.4317758 31.3842168 868.4329451951146 4.0","b24ac1ff-e124-11ec-9416-9440c9ab47f0",118.490142822266,74.3401031494141,998.828918457031,1073.16902160645,"livestock-arid",38.07,"other",0.07,"tertiary"
1156644,2022-05-31,6,"morogoro","kilosa","kilosa.dc","rudewa","gongoni","gongoni","-6.6450717 37.1520417 443.1 3.9","b191287a-e124-11ec-9416-9440c9ab47f0",48.9518508911133,57.9435195922852,136.239715576172,194.183235168457,"livestock-arid",26.99,"major",0.72,"tertiary"
1156804,2022-06-01,6,"rukwa","sumbawanga","sumbawanga.dc","kipeta","kilyamatundu","kilyamatundu","-8.3466513 32.2800652 832.7678499740232 4.444","dc9a920d-e1ed-11ec-9416-9440c9ab47f0",201.621398925781,139.689498901367,2426.56225585938,2566.25175476074,"mixed-rainfed-arid",4.46,"other",0.28,"trail"
1156842,2022-06-01,6,"mtwara","masasi.township.authority","masasi.tc","marika","mumbaka","mumbaka","-10.8394261 38.9195289 306.8 4.35","dbb52907-e1ed-11ec-9416-9440c9ab47f0",184.033569335938,61.7412872314453,4978.4560546875,5040.19734191895,"mixed-rainfed-arid",12.94,"other",0.35,"trail"
1157046,2022-06-01,6,"iringa","mufindi","mufindi.dc","ihowanza","ihowanza","ihowanza","-8.577295 34.7650505 1385.6171502014622 5.0","e3ba1159-eb5b-11ec-9416-9440c9ab47f0",84.3232498168945,118.609252929688,1687.97387695312,1806.58312988281,"mixed-rainfed-arid",21.47,"other",0.08,"trail"
1157180,2022-06-02,6,"rukwa","nkasi","nkasi.dc","nkomolo","isunta","isunta","-7.4863071 31.0558712 1538.6081938882564 4.0","08257200-e2b7-11ec-9416-9440c9ab47f0",162.470169067383,81.5301742553711,302.626800537109,384.15697479248,"mixed-rainfed-arid",3.42,"other",1.98,"tertiary"
1157393,2022-05-26,6,"mtwara","masasi.township.authority","masasi.tc","migongo","nangaya","nangaya","-10.7145123 38.795609 381.11968994140625 4.58","07c8c6f5-e2b7-11ec-9416-9440c9ab47f0",736.993774414062,57.8273429870605,4658.28515625,4716.11249923706,"mixed-rainfed-arid",3.87,"major",0.43,"trail"
1157394,2022-05-26,6,"mtwara","masasi.township.authority","masasi.tc","mkuti","madeco","madeco","-10.7296017 38.8162751 375.3988037109375 4.716","07957888-e2b7-11ec-9416-9440c9ab47f0",3204.939453125,57.8273429870605,4658.28515625,4716.11249923706,"mixed-rainfed-arid",1.07,"major",0.56,"trail"
1157395,2022-06-02,6,"mtwara","masasi","masasi.dc","chiungutwa","chiungutwa","chiungutwa","-10.8934518 38.987719 230.076416015625 4.561","078eff44-e2b7-11ec-9416-9440c9ab47f0",451.943359375,61.7412872314453,4978.4560546875,5040.19734191895,"mixed-rainfed-arid",18.04,"other",0.05,"trail"
1157529,2022-06-01,6,"morogoro","ulanga","ulanga.dc","minepa","mbuyuni","mbuyuni","-8.2398367 36.6833767 215.06686133284956 4.1","08a9d597-e2b7-11ec-9416-9440c9ab47f0",98.2378997802734,300.60009765625,1318.21325683594,1618.81335449219,"mixed-rainfed-humid",4.33,"other",0.26,"trail"
1157687,2022-06-01,6,"dodoma","bahi","bahi.dc","bahi","bahi.sokoni","bahi","-5.9624894 35.334974 836.6556481038064 5.0","31941180-e380-11ec-9416-9440c9ab47f0",220.838592529297,1549.005859375,3111.10107421875,4660.10693359375,"mixed-rainfed-arid",22.38,"other",0.2,"tertiary"
1157708,2022-06-03,6,"katavi","mpanda","mpanda.dc","kabungu","minyagala","minyagala","-6.417779 30.7914399 1026.6599661164819 4.8","31593dd0-e380-11ec-9416-9440c9ab47f0",30.7795562744141,66.6334381103516,389.146911621094,455.780349731445,"livestock-arid",10.18,"other",6.8,"tertiary"
1157970,2022-06-02,6,"songwe","momba","momba.dc","ivuna","ntungwa","mbao","-8.5474375 32.4585168 964.2937461761758 5.0","e3db98d7-eb5b-11ec-9416-9440c9ab47f0",60.5860176086426,53.6131744384766,1623.38989257812,1677.0030670166,"mixed-rainfed-arid",27.88,"other",0.27,"trail"
1157987,2022-06-03,6,"iringa","iringa","iringa.dc","itunundu","kimande","kimande","-7.3660081 35.4864831 986.4152071885765 5.0","e3e73038-eb5b-11ec-9416-9440c9ab47f0",128.083633422852,41.7427177429199,1221.54650878906,1263.28922653198,"livestock-arid",11.62,"other",0.99,"trail"
1158102,2022-06-03,6,"mtwara","masasi","masasi.dc","nanjota","nanjota","nanjota","-10.820619 38.9761502 307.0 4.36","5cf6c793-e449-11ec-9416-9440c9ab47f0",253.183227539062,64.17919921875,4361.5888671875,4425.76806640625,"mixed-rainfed-arid",19.11,"major",6.39,"trail"
1158215,2022-06-02,6,"morogoro","kilombero","kilombero.dc","idete","idandu","kikurukutu","-8.1735732 36.3908104 245.8944091796875 4.288","5cbf6b9f-e449-11ec-9416-9440c9ab47f0",80.3702011108398,354.327545166016,453.419525146484,807.7470703125,"livestock-humid",14,"other",2.19,"trail"
1158308,2022-06-04,6,"mbeya","mbarali","mbarali.dc","rujewa","ihanga","rujewa","-8.7168037 34.3909631 1068.0594060355797 5.0","5c287d35-e449-11ec-9416-9440c9ab47f0",618.459899902344,394.042266845703,1157.78125,1551.8235168457,"mixed-rainfed-arid",2.05,"major",0.82,"trail"
1158461,2022-05-31,6,"katavi","mlele","mpimbwe.dc","kibaoni","kibaoni","kibaoni","-7.1153872 31.1714705 961.2 4.55","870309f5-e512-11ec-9416-9440c9ab47f0",158.571197509766,115.234504699707,1686.32934570312,1801.56385040283,"mixed-rainfed-arid",7.88,"other",0.9,"tertiary"
1158600,2022-06-04,6,"dodoma","bahi","bahi.dc","mundemu","mundemu","mundemu","-5.9299971 35.6778646 1124.8728903331437 4.8","85e28ff6-e512-11ec-9416-9440c9ab47f0",111.252952575684,2189.24536132812,6771.53662109375,8960.78198242188,"mixed-rainfed-arid",18.02,"other",6.4,"trail"
1158924,2022-06-04,6,"mtwara","masasi","masasi.dc","mnavira","nakarara","makong.onda","-11.0164945 39.2319285 241.0 4.833","86625219-e512-11ec-9416-9440c9ab47f0",85.4964981079102,40.2803421020508,4206.91796875,4247.19831085205,"mixed-rainfed-arid",9.29,"major",0.13,"trail"
1159027,2022-06-04,6,"mtwara","masasi","masasi.dc","mchauru","mchauru","mchauru","-11.0281082 39.160235 169.26971435546875 3.9","b14c7fa8-e5db-11ec-9416-9440c9ab47f0",73.1093368530273,42.8856048583984,3866.95092773438,3909.83653259277,"mixed-rainfed-arid",16.09,"major",1.25,"trail"
1159230,2022-06-06,6,"njombe","wanging.ombe","wanging.ombe.dc","wanging.ombe","wanging.ombe","wanging.ombe","-8.8521811 34.6428671 1415.5339352684096 5.0","b1287ee9-e5db-11ec-9416-9440c9ab47f0",122.246856689453,452.701446533203,1206.17077636719,1658.87222290039,"mixed-rainfed-arid",20.85,"major",0.48,"tertiary"
1159272,2022-06-06,6,"mtwara","masasi","masasi.dc","namalenga","nagaga","namalenga","-10.9013394 39.1108574 335.4 4.96","b147523b-e5db-11ec-9416-9440c9ab47f0",387.043762207031,46.6823806762695,5710.55322265625,5757.23560333252,"mixed-rainfed-arid",19.82,"major",0.26,"trail"
1159301,2022-06-06,6,"morogoro","kilombero","kilombero.dc","mofu","miyomboni","mofu","-8.2765794 36.3240707 244.8209228515625 4.744","afcd2e43-e5db-11ec-9416-9440c9ab47f0",132.426681518555,329.195007324219,352.486694335938,681.681701660156,"livestock-humid",10.75,"other",0.47,"trail"
1159341,2022-06-06,6,"mtwara","masasi","masasi.dc","mkundi","majembe","mkundi","-10.7383764 39.1197694 392.0 5.0","b0d48f2e-e5db-11ec-9416-9440c9ab47f0",81.3202743530273,60.8783569335938,6566.26123046875,6627.13958740234,"livestock-arid",18.85,"other",4.44,"trail"
1159822,2022-06-07,6,"mtwara","masasi","masasi.dc","lukuledi","lukuledi","lukuledi","-10.5717977 38.8068269 334.9 5.0","db9a1432-e6a4-11ec-9416-9440c9ab47f0",992.918518066406,37.3517417907715,11242.9140625,11280.2658042908,"mixed-rainfed-arid",2.51,"other",0.05,"trail"
1159943,2022-06-07,6,"morogoro","kilombero","kilombero.dc","kiberege","sagamaganga","sagamaganga","-8.0696476 36.8109116 241.6 4.8","dca89162-e6a4-11ec-9416-9440c9ab47f0",104.366683959961,440.247436523438,742.306213378906,1182.55364990234,"livestock-humid",15.66,"major",0.97,"trail"
1160007,2022-06-07,6,"mtwara","masasi","masasi.dc","chiwale","kivukoni","chiwale","-10.5853929 38.6060378 407.613525390625 4.716","043b802c-e76e-11ec-9416-9440c9ab47f0",339.706237792969,37.5315322875977,4073.51196289062,4111.04349517822,"mixed-rainfed-arid",21.51,"other",10.24,"trail"
1160176,2022-06-07,6,"mbeya","mbarali","mbarali.dc","utengule.usangu","utengule.usangu","utengule.usangu","-8.6721637 33.8662568 1045.617154860869 5.0","04bbee6b-e76e-11ec-9416-9440c9ab47f0",174.197067260742,418.925750732422,964.327880859375,1383.2536315918,"mixed-rainfed-arid",24.39,"other",0.38,"trail"
1160264,2022-06-07,6,"dodoma","bahi","bahi.dc","lamaiti","lamaiti","lamaiti","-5.7821564 35.4809909 972.8034368570598 5.0","0484541d-e76e-11ec-9416-9440c9ab47f0",62.1072082519531,1279.35217285156,2120.2919921875,3399.64416503906,"mixed-rainfed-arid",34.15,"other",0.05,"trail"
1160427,2022-06-08,6,"mtwara","masasi","masasi.dc","nanganga","mwongozo","nangoo","-10.4664104 39.0937505 250.1832275390625 4.824","3173f91a-e837-11ec-9416-9440c9ab47f0",610.243896484375,36.175708770752,4332.5166015625,4368.69231033325,"mixed-rainfed-arid",12.45,"other",0.68,"trail"
1160430,2022-06-08,6,"mtwara","masasi","masasi.dc","mwena","chibwini","mwena","-10.5081024 39.0038158 298.0 4.666","318eadd8-e837-11ec-9416-9440c9ab47f0",772.734191894531,57.034797668457,5485.2490234375,5542.28382110596,"Other",20.81,"other",0.01,"trail"
1160811,2022-06-09,6,"songwe","mbozi","mbozi.dc","iyula","idiwili","idiwili","-9.1347523 33.1536493 1909.0037182345986 5.0","e306fe9b-eb5b-11ec-9416-9440c9ab47f0",392.015350341797,74.4665603637695,5154.5703125,5229.03687286377,"mixed-rainfed-temperate",19.56,"other",7.25,"trail"
1160860,2022-06-08,6,"morogoro","ulanga","malinyi.dc","usangule","kiswago","salamiti","-8.823092 36.2566832 242.0103323809444 4.816","31337a39-e837-11ec-9416-9440c9ab47f0",129.469940185547,294.015625,1299.84924316406,1593.86486816406,"mixed-rainfed-humid",25.98,"other",8.64,"trail"
1160890,2022-06-09,6,"lindi","nachingwea","nachingwea.dc","ndomoni","ndomoni","ndomoni","-10.5375291 38.8116548 310.00372314453125 4.561","30a9f511-e837-11ec-9416-9440c9ab47f0",183.184417724609,37.3517417907715,11242.9140625,11280.2658042908,"mixed-rainfed-arid",1.86,"other",0.21,"trail"
1161603,2022-06-10,6,"mtwara","newala","newala.tc","luchindu","tupendane","tulindane","-10.9243361 39.2698108 700.806884765625 4.451","851e5185-e9c9-11ec-9416-9440c9ab47f0",381.979064941406,129.195388793945,10487.4853515625,10616.6807403564,"mixed-rainfed-arid",3.38,"major",0.09,"trail"
1161608,2022-06-10,6,"mtwara","newala","newala.tc","mtonya","majengo","mtonya","-10.9544701 39.2770396 685.2410888671875 4.873","854c4cbe-e9c9-11ec-9416-9440c9ab47f0",1619.12585449219,129.195388793945,10487.4853515625,10616.6807403564,"mixed-rainfed-arid",0.96,"major",0.27,"trail"
1161612,2022-06-10,6,"mtwara","newala","newala.dc","kitangari","kitangari","kitangari","-10.6501081 39.3333043 454.5841064453125 4.824","838b3f65-e9c9-11ec-9416-9440c9ab47f0",1130.54443359375,112.818656921387,13221.767578125,13334.5862350464,"Other",0.95,"other",0.63,"trail"
1161674,2022-06-10,6,"mtwara","newala","newala.tc","luchindu","luchingu","luchingu","-10.9385478 39.2730208 684.0 4.8","85329ba8-e9c9-11ec-9416-9440c9ab47f0",3320.65869140625,129.195388793945,10487.4853515625,10616.6807403564,"mixed-rainfed-arid",1.9,"major",0.08,"trail"
1161678,2022-06-10,6,"mtwara","newala","newala.tc","mtonya","nangwala","nangwala","-10.9509015 39.2709607 707.0 5.0","85488d87-e9c9-11ec-9416-9440c9ab47f0",2445.54907226562,129.195388793945,10487.4853515625,10616.6807403564,"mixed-rainfed-arid",1.54,"major",0.42,"trail"
1162037,2022-06-11,6,"mtwara","masasi","masasi.dc","mnavira","mnavira","mnavira","-11.0697551 39.2535928 166.233154296875 4.808","b2501897-ea92-11ec-9416-9440c9ab47f0",364.603363037109,43.719310760498,5021.60986328125,5065.32917404175,"mixed-rainfed-arid",13.58,"major",0.3,"trail"
1162039,2022-06-12,6,"ruvuma","tunduru","tunduru.dc","muhuwesi","muhesi","muhesi","-10.8705337 37.4516587 473.052978515625 4.931","afaebb04-ea92-11ec-9416-9440c9ab47f0",324.097320556641,411.612945556641,934.421752929688,1346.03469848633,"mixed-rainfed-arid",1.49,"other",5.98,"trail"
1162085,2022-06-11,6,"mtwara","masasi","masasi.dc","chikolopola","chikolopola","chikolopola","-11.0682449 39.3274016 108.6 4.925","b1c66703-ea92-11ec-9416-9440c9ab47f0",310.380035400391,43.719310760498,5021.60986328125,5065.32917404175,"mixed-rainfed-arid",13.77,"major",0.31,"trail"
1162635,2022-06-12,6,"mbeya","chunya","chunya.dc","mtanila","igangwe","shauri.moyo","-7.8785845 33.1321739 1386.2877886518836 5.0","e2d4398e-eb5b-11ec-9416-9440c9ab47f0",5.86557817459106,58.8987159729004,632.227905273438,691.126621246338,"livestock-arid",21.83,"other",19.79,"tertiary"
1162780,2022-06-10,6,"morogoro","ulanga","malinyi.dc","itete","itete","itete","-8.6886787 36.4044964 311.83984375 4.63","5c0c9372-ebad-11ec-9416-9440c9ab47f0",182.509078979492,243.137313842773,1193.8154296875,1436.95274353027,"mixed-rainfed-humid",3.94,"other",0.06,"trail"
1162957,2022-06-14,6,"mbeya","chunya","chunya.dc","mamba","mamba","shinyanga","-8.127488 33.1441905 1230.6280415151268 5.0","0c184e8d-ec25-11ec-9416-9440c9ab47f0",15.9636650085449,60.7132911682129,617.111206054688,677.8244972229,"livestock-arid",23.43,"other",13.54,"trail"
1167758,2022-05-22,6,"katavi","mlele","mpimbwe.dc","usevya","kitupa","majimoto","-7.1165855 31.2248922 958.4 4.74","32d4f224-f1a5-11ec-80af-9440c9ab47f0",257.923706054688,115.234504699707,1686.32934570312,1801.56385040283,"mixed-rainfed-arid",2.74,"other",1.67,"tertiary"
1167807,2022-06-05,6,"katavi","mpanda","mpanda.dc","sibwesa","sibwesa","sibwesa","-6.4997127 30.7435865 1074.5 3.9","335eb21e-f1a5-11ec-80af-9440c9ab47f0",36.4157791137695,46.0573387145996,328.81005859375,374.86739730835,"livestock-arid",0.71,"other",0.93,"tertiary"
