"","dist_suffix","dist_nosuffix","Dist20_N","Dist20_nosuffix","Region20_N","dist_nosuffix.dist","dist_suffix.dist","dist"
"1","bahi.dc","bahi","bahi.dc","bahi","dodoma",0,0,NA
"2","bariadi.busega.dc","bariadi.busega","bariadi.dc","bariadi","simiyu",0.166666666666667,0.137254901960784,NA
"3","bariadi.cc.mc.tc","bariadi","bariadi.tc","bariadi","simiyu",0,0.158333333333333,NA
"4","bariadi.dc","bariadi","bariadi.dc","bariadi","simiyu",0,0,NA
"5","bariadi.tc","bariadi","bariadi.tc","bariadi","simiyu",0,0,NA
"6","baridi.tc","baridi","bariadi.tc","bariadi","simiyu",0.0476190476190477,0.0333333333333334,NA
"7","baruadi.dc","baruadi","bariadi.dc","bariadi","simiyu",0.0952380952380952,0.122222222222222,NA
"8","bunda.cc.mc.tc","bunda","bunda.tc","bunda","mara",0,0.18452380952381,NA
"9","bunda.dc","bunda","bunda.dc","bunda","mara",0,0,NA
"10","busega.dc","busega","busega.dc","busega","simiyu",0,0,NA
"11","chamwino.bahi.dc","chamwino.bahi","chamwino.dc","chamwino","dodoma",0.128205128205128,0.104166666666667,NA
"12","chamwino.dc","chamwino","chamwino.dc","chamwino","dodoma",0,0,NA
"13","chemba.dc","chemba","chemba.dc","chemba","dodoma",0,0,NA
"14","chunya.dc","chunya","chunya.dc","chunya","mbeya",0,0,NA
"15","dar.es.salaam.dc","dar.es.salaam","mkalama.dc","mkalama","singida",0.446886446886447,0.295833333333333,NA
"16","dodoma.cc","dodoma","dodoma.cc","dodoma","dodoma",0,0,NA
"17","dutwa.dc","dutwa","ludewa.dc","ludewa","njombe",0.261111111111111,0.163359788359788,NA
"18","handeni.dc","handeni","handeni.dc","handeni","tanga",0,0,NA
"19","ifakara.dc","ifakara","ifakara.tc","ifakara","morogoro",0,0.0666666666666668,NA
"20","ilemela.dc","ilemela","ilemela.mc","ilemela","mwanza",0,0.0666666666666668,NA
"21","inyonga.dc","inyonga","shinyanga.dc","shinyanga","shinyanga",0.242063492063492,0.172222222222222,NA
"22","iringa.dc","iringa","iringa.dc","iringa","iringa",0,0,NA
"23","iringa.mc","iringa","iringa.mc","iringa","iringa",0,0,NA
"24","itilima.dc","itilima","itilima.dc","itilima","simiyu",0,0,NA
"25","itilima.na.meatu.maswa.dc","itilima.na.meatu.maswa","itilima.dc","itilima","simiyu",0.227272727272727,0.293333333333333,NA
"26","kalemela.dc","kalemela","ilemela.mc","ilemela","mwanza",0.130952380952381,0.157575757575758,NA
"27","kibaha.dc","kibaha","kibaha.dc","kibaha","pwani",0,0,NA
"28","kigoma.dc","kigoma","kigoma.dc","kigoma","kigoma",0,0,NA
"29","kigwe.dc","kigwe","korogwe.dc","korogwe","tanga",0.20952380952381,0.141666666666667,NA
"30","kigwe.dc","kigwe","buhigwe.dc","buhigwe","kigoma",0.20952380952381,0.141666666666667,NA
"31","kigwe.dc","kigwe","karagwe.dc","karagwe","kagera",0.20952380952381,0.141666666666667,NA
"32","kilindi.dc","kilindi","kilindi.dc","kilindi","tanga",0,0,NA
"33","kilombero.dc","kilombero","kilombero.dc","kilombero","morogoro",0,0,NA
"34","kilosa.dc","kilosa","kilosa.dc","kilosa","morogoro",0,0,NA
"35","kilwa.dc","kilwa","kilwa.dc","kilwa","lindi",0,0,NA
"36","kinondoni.dc","kinondoni","kinondoni.mc","kinondoni","dar.es.salaam",0,0.0555555555555557,NA
"37","kishapu.dc","kishapu","kishapu.dc","kishapu","shinyanga",0,0,NA
"38","kishapu.na.maswa.dc","kishapu.na.maswa","kishapu.dc","kishapu","shinyanga",0.1875,0.259649122807017,NA
"39","kisii.kenya.dc","kisii.kenya","kibiti.dc","kibiti","pwani",0.323232323232323,0.240740740740741,NA
"40","kwima.dc","kwima","kwimba.dc","kwimba","mwanza",0.0555555555555556,0.0370370370370371,NA
"41","kwimba.bariadi.dc","kwimba.bariadi","kwimba.dc","kwimba","mwanza",0.19047619047619,0.213507625272331,NA
"42","kwimba.dc","kwimba","kwimba.dc","kwimba","mwanza",0,0,NA
"43","lamadi.dc","lamadi","lindi.dc","lindi","lindi",0.3,0.194444444444445,NA
"44","lindi.dc","lindi","lindi.dc","lindi","lindi",0,0,NA
"45","lukande.dc","lukande","ludewa.dc","ludewa","njombe",0.357142857142857,0.166203703703704,NA
"46","magigiwe.dc","magigiwe","mbogwe.dc","mbogwe","geita",0.277777777777778,0.195286195286195,NA
"47","magu.dc","magu","magu.dc","magu","mwanza",0,0,NA
"48","makanda.ya.manyoni.dc","makanda.ya.manyoni","nyamagana.mc","nyamagana","mwanza",0.347222222222222,0.292568542568543,NA
"49","makete.dc","makete","makete.dc","makete","njombe",0,0,NA
"50","malinyi.dc","malinyi","malinyi.dc","malinyi","morogoro",0,0,NA
"51","manda.dc","manda","mpanda.dc","mpanda","katavi",0.0555555555555556,0.0370370370370371,NA
"52","mapanda.dc","mapanda","mpanda.dc","mpanda","katavi",0.186507936507937,0.125925925925926,NA
"53","mapo.dc","mapo","manyoni.dc","manyoni","singida",0.273809523809524,0.180952380952381,NA
"54","mara.dc","mara","mtwara.dc","mtwara","mtwara",0.111111111111111,0.0740740740740742,NA
"55","masasi.dc","masasi","masasi.dc","masasi","mtwara",0,0,NA
"56","masasi.nachingwea.dc","masasi.nachingwea","masasi.dc","masasi","mtwara",0.215686274509804,0.237037037037037,NA
"57","masasi.nachingwea.dc","masasi.nachingwea","masasi.tc","masasi","mtwara",0.215686274509804,0.237037037037037,NA
"58","masasi.nanyumbu.dc","masasi.nanyumbu","nanyumbu.dc","nanyumbu","mtwara",0.536111111111111,0.250841750841751,NA
"59","masasi.newala.dc","masasi.newala","masasi.dc","masasi","mtwara",0.17948717948718,0.145833333333333,NA
"60","maswa.dc","maswa","maswa.dc","maswa","simiyu",0,0,NA
"61","matemela.dc","matemela","makete.dc","makete","njombe",0.247222222222222,0.169612794612795,NA
"62","mb.dc","mb","rombo.dc","rombo","kilimanjaro",1,0.125,NA
"63","mb.dc","mb","mbeya.dc","mbeya","mbeya",0.2,0.125,NA
"64","mb.dc","mb","mbozi.dc","mbozi","songwe",0.2,0.125,NA
"65","mb.dc","mb","momba.dc","momba","songwe",0.433333333333333,0.125,NA
"66","mb.dc","mb","mbulu.dc","mbulu","manyara",0.2,0.125,NA
"67","mbarali.dc","mbarali","mbarali.dc","mbarali","mbeya",0,0,NA
"68","mbeya.dc","mbeya","mbeya.dc","mbeya","mbeya",0,0,NA
"69","mbeya.iringa.na.newala.dc","mbeya.iringa.na.newala","nyamagana.mc","nyamagana","mwanza",0.374158249158249,0.322222222222222,NA
"70","mbozi.dc","mbozi","mbozi.dc","mbozi","songwe",0,0,NA
"71","meatu.dc","meatu","meatu.dc","meatu","simiyu",0,0,NA
"72","megelo.dc","megelo","mlele.dc","mlele","katavi",0.261111111111111,0.163359788359788,NA
"73","mfindi.dc","mfindi","mufindi.dc","mufindi","iringa",0.0476190476190477,0.0333333333333334,NA
"74","misasi.dc","misasi","masasi.dc","masasi","mtwara",0.177777777777778,0.115740740740741,NA
"75","misungwi.dc","misungwi","misungwi.dc","misungwi","mwanza",0,0,NA
"76","mitumbati.dc","mitumbati","momba.dc","momba","songwe",0.251851851851852,0.180555555555556,NA
"77","mkomba.dc","mkomba","momba.dc","momba","songwe",0.0555555555555556,0.0370370370370371,NA
"78","mkonona.dc","mkonona","kondoa.dc","kondoa","dodoma",0.150793650793651,0.103703703703704,NA
"79","mlele.dc","mlele","mlele.dc","mlele","katavi",0,0,NA
"80","mlimba.dc","mlimba","momba.dc","momba","songwe",0.177777777777778,0.115740740740741,NA
"81","momba.dc","momba","momba.dc","momba","songwe",0,0,NA
"82","morogoro.cc.mc.tc","morogoro","morogoro.mc","morogoro","morogoro",0,0.14795008912656,NA
"83","mpanda.dc","mpanda","mpanda.dc","mpanda","katavi",0,0,NA
"84","mpimbwe.dc","mpimbwe","mpimbwe.dc","mpimbwe","katavi",0,0,NA
"85","mufindi.dc","mufindi","mufindi.dc","mufindi","iringa",0,0,NA
"86","musoma.dc","musoma","musoma.dc","musoma","mara",0,0,NA
"87","mvomero.dc","mvomero","mvomero.dc","mvomero","morogoro",0,0,NA
"88","mwanjelwa.dc","mwanjelwa","mwanga.dc","mwanga","kilimanjaro",0.203703703703704,0.148148148148148,NA
"89","mwanza.machinjioni.dc","mwanza.machinjioni","mwanga.dc","mwanga","kilimanjaro",0.296296296296296,0.296296296296296,NA
"90","mwanza.machinjioni.dc","mwanza.machinjioni","mtwara.mc","mtwara","mtwara",0.37037037037037,0.296296296296296,NA
"91","mwanza.machinjioni.dc","mwanza.machinjioni","mpanda.mc","mpanda","katavi",0.37037037037037,0.296296296296296,NA
"92","nachingwea.dc","nachingwea","nachingwea.dc","nachingwea","lindi",0,0,NA
"93","nachingwea.mpanyani.lukuledi.dc","nachingwea.mpanyani.lukuledi","nachingwea.dc","nachingwea","lindi",0.214285714285714,0.266335814722911,NA
"94","namanyere.dc","namanyere","meru.dc","meru","arusha",0.546296296296296,0.214285714285714,NA
"95","namanyere.dc","namanyere","same.dc","same","kilimanjaro",0.305555555555556,0.214285714285714,NA
"96","nangoo.lindi.dc","nangoo.lindi","nyang.wale.dc","nyang.wale","geita",0.3,0.272934472934473,NA
"97","nanyumbu.dc","nanyumbu","nanyumbu.dc","nanyumbu","mtwara",0,0,NA
"98","nanyumbu.mbeya.tabora.sumbawanga.dc","nanyumbu.mbeya.tabora.sumbawanga","nanyumbu.dc","nanyumbu","mtwara",0.25,0.308225108225108,NA
"99","nchemba.dc","nchemba","chemba.dc","chemba","dodoma",0.0476190476190477,0.0333333333333334,NA
"100","newala.dc","newala","newala.dc","newala","mtwara",0,0,NA
"101","newala.masasi.dc","newala.masasi","newala.dc","newala","mtwara",0.17948717948718,0.145833333333333,NA
"102","newala.na.nanyumbu.dc","newala.na.nanyumbu","newala.tc","newala","mtwara",0.222222222222222,0.296296296296296,NA
"103","newala.na.nanyumbu.dc","newala.na.nanyumbu","newala.dc","newala","mtwara",0.222222222222222,0.296296296296296,NA
"104","ngudu.dc","ngudu","tunduru.dc","tunduru","ruvuma",0.292857142857143,0.189285714285714,NA
"105","ngudu.dc","ngudu","tunduma.dc","tunduma","songwe",0.292857142857143,0.189285714285714,NA
"106","njombe.dc","njombe","njombe.dc","njombe","njombe",0,0,NA
"107","nkasi.dc","nkasi","nkasi.dc","nkasi","rukwa",0,0,NA
"108","nkuswe.dc","nkuswe","nkasi.dc","nkasi","rukwa",0.3,0.194444444444445,NA
"109","nsimbo.dc","nsimbo","nsimbo.dc","nsimbo","katavi",0,0,NA
"110","pugu.dc","pugu","uyui.dc","uyui","tabora",0.333333333333333,0.19047619047619,NA
"111","pwani.dar.es.salaam.dc","pwani.dar.es.salaam","wanging.ombe.dc","wanging.ombe","njombe",0.394736842105263,0.35959595959596,NA
"112","pwani.dc","pwani","pangani.dc","pangani","tanga",0.20952380952381,0.141666666666667,NA
"113","ruangwa.dc","ruangwa","ruangwa.dc","ruangwa","lindi",0,0,NA
"114","rujewa.dc","rujewa","ludewa.dc","ludewa","njombe",0.222222222222222,0.148148148148148,NA
"115","silali.dc","silali","siha.dc","siha","kilimanjaro",0.25,0.158730158730159,NA
"116","sinyanga.dc","sinyanga","shinyanga.dc","shinyanga","shinyanga",0.0370370370370371,0.0277777777777779,NA
"117","songea.dc","songea","songea.dc","songea","ruvuma",0,0,NA
"118","songea.mc","songea","songea.mc","songea","ruvuma",0,0,NA
"119","songwe.dc","songwe","songwe.dc","songwe","songwe",0,0,NA
"120","sumabwanga.dc","sumabwanga","sumbawanga.dc","sumbawanga","rukwa",0.0333333333333334,0.0256410256410255,NA
"121","sumbawanga.dc","sumbawanga","sumbawanga.dc","sumbawanga","rukwa",0,0,NA
"122","tanga.dc","tanga","tanga.cc","tanga","tanga",0,0.0833333333333334,NA
"123","tanganyik.dc","tanganyik","pangani.dc","pangani","tanga",0.158730158730159,0.116666666666667,NA
"124","tanganyika.dc","tanganyika","pangani.dc","pangani","tanga",0.180952380952381,0.135897435897436,NA
"125","temeke.dc","temeke","temeke.mc","temeke","dar.es.salaam",0,0.0740740740740742,NA
"126","tnganyika.dc","tnganyika","ngara.dc","ngara","kagera",0.355555555555556,0.180555555555556,NA
"127","tumaini.dc","tumaini","malinyi.dc","malinyi","morogoro",0.19047619047619,0.133333333333333,NA
"128","ulanga.dc","ulanga","ulanga.dc","ulanga","morogoro",0,0,NA
"129","uvinza.dc","uvinza","uvinza.dc","uvinza","kigoma",0,0,NA
"130","wanging.ombe.dc","wanging.ombe","wanging.ombe.dc","wanging.ombe","njombe",0,0,NA
"131","wilaya.dc","wilaya","kilwa.dc","kilwa","lindi",0.3,0.187169312169312,NA
"132","yanganyika.dc","yanganyika","pangani.dc","pangani","tanga",0.180952380952381,0.135897435897436,NA
