district,tdist,check
bahi,bahi,accept_0
chemba,chemba,accept_0
nchemba,chemba,NA
dodoma.urban,dodoma.urban,accept_0
manyoni,manyoni,accept_0
kigwe,kilwa,NA
dodoma,kondoa,NA
maswa,maswa,accept_0
meatu,meatu,accept_0
kishapu.and.maswa,kishapu,NA
bariadi,bariadi,accept_0
itilima,itilima,accept_0
baridi.tc,bariadi,NA
bariadi.tc,bariadi,NA
bariadi.dc,bariadi,NA
bariad.tc,bariadi,NA
itilima.and.meatu,itilima,NA
itilima.and.meatu.maswa,tandahimba,NA
bunda,bunda,accept_0
makanda,mpanda,NA
busega,busega,accept_0
kwimba,kwimba,accept_0
ngudu,ngara,NA
nkwimba,kwimba,NA
nkwinba,kwimba,NA
misungwi,misungwi,accept_0
ilala,ilala,accept_0
mpimbwe,mpwapwa,NA
nkasi,nkasi,accept_0
tanganyika,pangani,NA
kwimba.bariadi,bariadi,NA
magu,magu,accept_0
ulanga,ulanga,accept_0
ifakara,ilala,NA
musoma.rural,musoma.urban,NA
misasi,masasi,NA
mosungwi,misungwi,NA
shenyang.dc,shinyanga,NA
malinyi,kilindi,NA
mlele,mlele,accept_0
sikonge,sikonge,accept_0
chamwino,chamwino,accept_0
lukande,ulanga,NA
masasi,masasi,accept_0
nanyumbu,nanyumbu,accept_0
nanyumbu.mbeya.tabora.sumbawanga,tabora.urban,NA
masasi.newala,newala,NA
mbarali,mbarali,accept_0
mfindi,mufindi,NA
skonge,sikonge,NA
wilaya,ilala,NA
inyonga,iringa,NA
sumbawanga,sumbawanga,accept_0
sinyanga,shinyanga,NA
pugu,magu,NA
sumabwanga,sumbawanga,NA
sumbawanga.municipality,sumbawanga.urban,NA
lamadi,lindi,NA
mara,meru,NA
njombe,njombe,accept_0
nsimbo,rombo,NA
kalambo,kalambo,accept_0
namanyere,manyoni,NA
dar.es.salaam,arusha,NA
newala,newala,accept_0
nantumbu,nanyumbu,NA
nachingwea,nachingwea,accept_0
nanyumba,nanyumbu,NA
massi,masasi,NA
mbeya.iringa.and.newala,mbeya.urban,NA
newala.and.nanyumbu,nanyumbu,NA
tunduru,tunduru,accept_0
mkonona,kondoa,NA
mvomero,mvomero,accept_0
kilindi,kilindi,accept_0
handeni,handeni,accept_0
chalinze,chamwino,NA
municipality.of.dodoma,itilima,NA
kilosa,kilosa,accept_0
mpanda,mpanda,accept_0
na,hai,NA
yanganyika,pangani,NA
tnganyika,pangani,NA
songwe,songwe,accept_0
momba,momba,accept_0
kamsamba,kalambo,NA
mwanjelwa,mwanga,NA
mbeya.rural,mbeya.urban,NA
mufindi,mufindi,accept_0
wanging.ombe,wanging.ombe,accept_0
iringa.rural,iringa.urban,NA
iringa,iringa,accept_0
mkomba,momba,NA
masasi.nanyumbu,nanyumbu,NA
mlimba,momba,NA
mba,mbeya,NA
tandahimba,tandahimba,accept_0
nachingwea.mpanyani.lukuledi,nachingwea,NA
masasi.nachingwea,nachingwea,NA
utengule.usangu,tanga.urban,NA
makete,makete,accept_0
ruangwa,ruangwa,accept_0
lindi,lindi,accept_0
nangoo.lindi,pangani,NA
kilwa,kilwa,accept_0
kilombero,kilombero,accept_0
mbozi,mbozi,accept_0
mpanda.municipality,mpanda.urban,NA
newala.masasi,newala,NA
kigoma,kigoma,accept_0
chunya,chunya,accept_0
kibaha,kibaha,accept_0
dodoma.jini,dodoma.urban,NA
temeke,temeke,accept_0
chamwino.bahi,chamwino,NA
mawsa,maswa,NA
kishapu,kishapu,accept_0
manda,mpanda,NA
dodoma.dar.es.salaam,dodoma.urban,NA
nyamagana,nyamagana,accept_0
dutwa,kilwa,NA
ilemela,ilemela,accept_0
baruadi.dc,bariadi,NA
silali,ilala,NA
kalemela,ilemela,NA
kwima,kwimba,NA
bariadi.busega,bariadi,NA
mpimwe,mbogwe,NA
shinyanga,shinyanga,accept_0
kigamboni,kinondoni,NA
mb,meru,NA
tabora,kilosa,NA
njombe.urban,njombe.urban,accept_0
morogoro,morogoro,accept_0
mmba,momba,NA
kinondoni,kinondoni,accept_0
tanga.urban,tanga.urban,accept_0
tanga,mwanga,NA
pwani,bahi,NA
mapanda,mpanda,NA
tunduma,tunduma,accept_0
morogoro.urban,morogoro.urban,accept_0
halmashauri.of.mdogo.makambako,morogoro.urban,NA
muf,meru,NA
sumbawanga.urban,sumbawanga.urban,accept_0
songea.municipality,songea.urban,NA
iringa.urban,iringa.urban,accept_0
songea,songea,accept_0
iringa.municipality,iringa.urban,NA
mpwapwa,mpwapwa,accept_0
mbeya,mbeya,accept_0
urban.mdogo.wa.makambako,dodoma.urban,NA
makambako,kalambo,NA
rujewa,ludewa,NA
njema,nzega,NA
rungwa,ruangwa,NA
uvinza,uvinza,accept_0
tanganyik,pangani,NA